From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Keyword ID	Keywords	Gene Names (ORF)	Gene Names (primary)	Organism (ID)	Proteomes	Virus hosts	Taxonomic lineage	Taxonomic lineage (Ids)	3D	Helix	Turn	Beta strand	Motif	Zinc finger	Protein families
NP_041328.1	P03120	reviewed	VE2_HPV16	Regulatory protein E2	E2	Human papillomavirus type 16	365	DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]; transcription, DNA-templated [GO:0006351]; viral DNA genome replication [GO:0039693]	host cell nucleus [GO:0042025]; host cytoskeleton [GO:0044163]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]; transcription, DNA-templated [GO:0006351]; viral DNA genome replication [GO:0039693]	GO:0000166; GO:0003677; GO:0003700; GO:0006260; GO:0006275; GO:0006351; GO:0039693; GO:0042025; GO:0044163	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]	host cell nucleus [GO:0042025]; host cytoskeleton [GO:0044163]	KW-0002; KW-0010; KW-0235; KW-0238; KW-0244; KW-1048; KW-1017; KW-0597; KW-1185; KW-0678; KW-0804; KW-0805; KW-0832	3D-structure;Activator;DNA replication;DNA-binding;Early protein;Host nucleus;Isopeptide bond;Phosphoprotein;Reference proteome;Repressor;Transcription;Transcription regulation;Ubl conjugation		E2	333760	UP000009251: Genome; UP000106302: Genome	Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)	NMR spectroscopy (2); X-ray crystallography (5)	HELIX 1..21; /evidence="ECO:0007829|PDB:2NNU"; HELIX 26..48; /evidence="ECO:0007829|PDB:2NNU"; HELIX 62..83; /evidence="ECO:0007829|PDB:2NNU"; HELIX 99..103; /evidence="ECO:0007829|PDB:2NNU"; HELIX 171..178; /evidence="ECO:0007829|PDB:2NNU"; HELIX 295..305; /evidence="ECO:0007829|PDB:2Q79"; HELIX 306..311; /evidence="ECO:0007829|PDB:2Q79"; HELIX 340..349; /evidence="ECO:0007829|PDB:2Q79"	TURN 86..89; /evidence="ECO:0007829|PDB:2NNU"; TURN 94..97; /evidence="ECO:0007829|PDB:2NNU"	STRAND 52..54; /evidence="ECO:0007829|PDB:2NNU"; STRAND 104..106; /evidence="ECO:0007829|PDB:2NNU"; STRAND 110..121; /evidence="ECO:0007829|PDB:2NNU"; STRAND 127..141; /evidence="ECO:0007829|PDB:2NNU"; STRAND 144..148; /evidence="ECO:0007829|PDB:2NNU"; STRAND 154..161; /evidence="ECO:0007829|PDB:2NNU"; STRAND 164..170; /evidence="ECO:0007829|PDB:2NNU"; STRAND 180..182; /evidence="ECO:0007829|PDB:2NNU"; STRAND 184..190; /evidence="ECO:0007829|PDB:2NNU"; STRAND 286..293; /evidence="ECO:0007829|PDB:2Q79"; STRAND 313..315; /evidence="ECO:0007829|PDB:2Q79"; STRAND 331..336; /evidence="ECO:0007829|PDB:2Q79"; STRAND 356..363; /evidence="ECO:0007829|PDB:2Q79"			Papillomaviridae E2 protein family
NP_041328.1	A0A384K9A3	unreviewed	A0A384K9A3_HPV16	Regulatory protein E2	E2	Human papillomavirus type 16	365	DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]; transcription, DNA-templated [GO:0006351]; viral DNA genome replication [GO:0039693]	host cell nucleus [GO:0042025]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]; transcription, DNA-templated [GO:0006351]; viral DNA genome replication [GO:0039693]	GO:0000166; GO:0003677; GO:0003700; GO:0006260; GO:0006275; GO:0006351; GO:0039693; GO:0042025	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]	host cell nucleus [GO:0042025]	KW-0010; KW-0235; KW-0238; KW-0244; KW-1048; KW-1017; KW-0597; KW-0678; KW-0804; KW-0805; KW-0832	Activator;DNA replication;DNA-binding;Early protein;Host nucleus;Isopeptide bond;Phosphoprotein;Repressor;Transcription;Transcription regulation;Ubl conjugation		E2	333760	UP000097497: Genome; UP000100849: Genome; UP000102417: Genome; UP000105914: Genome; UP000108404: Genome; UP000109513: Genome; UP000116252: Genome; UP000116712: Genome; UP000120812: Genome; UP000121918: Genome; UP000127829: Genome; UP000128285: Genome; UP000142500: Genome; UP000143967: Genome; UP000155184: Genome; UP000165272: Genome; UP000168135: Genome; UP000169400: Genome	Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae E2 protein family; Papillomaviridae E8^E2C protein family
NP_041328.1	Q549Q0	unreviewed	Q549Q0_HPV16	Regulatory protein E2	E2	Human papillomavirus type 16	365	DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]; transcription, DNA-templated [GO:0006351]; viral DNA genome replication [GO:0039693]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]; transcription, DNA-templated [GO:0006351]; viral DNA genome replication [GO:0039693]	GO:0000166; GO:0003677; GO:0003700; GO:0006260; GO:0006275; GO:0006351; GO:0039693	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]		KW-0010; KW-0235; KW-0238; KW-0244; KW-1048; KW-1017; KW-0597; KW-0678; KW-0804; KW-0805; KW-0832	Activator;DNA replication;DNA-binding;Early protein;Host nucleus;Isopeptide bond;Phosphoprotein;Repressor;Transcription;Transcription regulation;Ubl conjugation		E2	333760		Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae E2 protein family; Papillomaviridae E8^E2C protein family
NP_041328.1	A0A160CCW9	unreviewed	A0A160CCW9_9PAPI	Regulatory protein E2	E2	Alphapapillomavirus 9	365	DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]; transcription, DNA-templated [GO:0006351]; viral DNA genome replication [GO:0039693]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]; transcription, DNA-templated [GO:0006351]; viral DNA genome replication [GO:0039693]	GO:0000166; GO:0003677; GO:0003700; GO:0006260; GO:0006275; GO:0006351; GO:0039693	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]		KW-0010; KW-0235; KW-0238; KW-0244; KW-1048; KW-1017; KW-0597; KW-0678; KW-0804; KW-0805; KW-0832	Activator;DNA replication;DNA-binding;Early protein;Host nucleus;Isopeptide bond;Phosphoprotein;Repressor;Transcription;Transcription regulation;Ubl conjugation		E2	337041	UP000097054: Genome; UP000098680: Genome; UP000107233: Genome; UP000113136: Genome; UP000116283: Genome; UP000132635: Genome; UP000134793: Genome; UP000144448: Genome; UP000163107: Genome; UP000165009: Genome; UP000165213: Genome; UP000168173: Genome		Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae E2 protein family; Papillomaviridae E8^E2C protein family
NP_041330.2	P06927	reviewed	VE5_HPV16	Probable protein E5	E5	Human papillomavirus type 16	83	modulation by virus of host process [GO:0019048]; negative regulation by symbiont of host apoptotic process [GO:0033668]; suppression by virus of host antigen processing and presentation of peptide antigen via MHC class I [GO:0046776]	host cell endoplasmic reticulum membrane [GO:0044167]; host cell Golgi apparatus [GO:0044177]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; modulation by virus of host process [GO:0019048]; negative regulation by symbiont of host apoptotic process [GO:0033668]; suppression by virus of host antigen processing and presentation of peptide antigen via MHC class I [GO:0046776]	GO:0016021; GO:0019048; GO:0020002; GO:0033668; GO:0044167; GO:0044177; GO:0046776		host cell endoplasmic reticulum membrane [GO:0044167]; host cell Golgi apparatus [GO:0044177]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]	KW-0244; KW-1038; KW-1040; KW-1043; KW-0945; KW-1080; KW-1115; KW-0472; KW-1185; KW-0812; KW-1133; KW-0899	Early protein;Host endoplasmic reticulum;Host Golgi apparatus;Host membrane;Host-virus interaction;Inhibition of host adaptive immune response by virus;Inhibition of host MHC class I molecule presentation by virus;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Viral immunoevasion		E5	333760	UP000009251: Genome; UP000106302: Genome	Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae E5 protein family
NP_041330.2	A0A384LJE3	unreviewed	A0A384LJE3_HPV16	Probable protein E5	E5	Human papillomavirus type 16	83		integral component of membrane [GO:0016021]	GO:0016021		integral component of membrane [GO:0016021]	KW-0472; KW-0812; KW-1133	Membrane;Transmembrane;Transmembrane helix		E5	333760	UP000100381: Genome; UP000100849: Genome; UP000102417: Genome; UP000103549: Genome; UP000103778: Genome; UP000105914: Genome; UP000109513: Genome; UP000116712: Genome; UP000117641: Genome; UP000120812: Genome; UP000121918: Genome; UP000127829: Genome; UP000128285: Genome; UP000131868: Genome; UP000142500: Genome; UP000143967: Genome; UP000155184: Genome; UP000162555: Genome; UP000165272: Genome; UP000169400: Genome	Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae E5 protein family
NP_041330.2	Q549H4	unreviewed	Q549H4_HPV16	Probable protein E5	E5	Human papillomavirus type 16	83		integral component of membrane [GO:0016021]	GO:0016021		integral component of membrane [GO:0016021]	KW-0472; KW-0812; KW-1133	Membrane;Transmembrane;Transmembrane helix		E5	333760		Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae E5 protein family
NP_041330.2	A0A166M8W3	unreviewed	A0A166M8W3_9PAPI	Probable protein E5	E5	Alphapapillomavirus 9	83		integral component of membrane [GO:0016021]	GO:0016021		integral component of membrane [GO:0016021]	KW-0472; KW-0812; KW-1133	Membrane;Transmembrane;Transmembrane helix		E5	337041	UP000095854: Genome; UP000097054: Genome; UP000098680: Genome; UP000101459: Genome; UP000106276: Genome; UP000107670: Genome; UP000110081: Genome; UP000116283: Genome; UP000123421: Genome; UP000127627: Genome; UP000128495: Genome; UP000132635: Genome; UP000134793: Genome; UP000139506: Genome; UP000143430: Genome; UP000154149: Genome; UP000163107: Genome; UP000165009: Genome; UP000165213: Genome; UP000168173: Genome; UP000170425: Genome		Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae E5 protein family
NP_041331.2	A0A220NMU2	unreviewed	A0A220NMU2_HPV16	Minor capsid protein L2	L2	Human papillomavirus type 16	473	microtubule-dependent intracellular transport of viral material towards nucleus [GO:0075521]; viral entry into host cell [GO:0046718]; viral penetration into host nucleus [GO:0075732]	host cell endosome [GO:0044174]; host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral capsid [GO:0019028]; DNA binding [GO:0003677]; structural molecule activity [GO:0005198]; microtubule-dependent intracellular transport of viral material towards nucleus [GO:0075521]; viral entry into host cell [GO:0046718]; viral penetration into host nucleus [GO:0075732]	GO:0003677; GO:0005198; GO:0019028; GO:0042025; GO:0044174; GO:0044177; GO:0046718; GO:0075521; GO:0075732	DNA binding [GO:0003677]; structural molecule activity [GO:0005198]	host cell endosome [GO:0044174]; host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral capsid [GO:0019028]	KW-0167; KW-1176; KW-1015; KW-0238; KW-1039; KW-1040; KW-1048; KW-0945; KW-0426; KW-1177; KW-0597; KW-1163; KW-0946; KW-1160	Capsid protein;Cytoplasmic inwards viral transport;Disulfide bond;DNA-binding;Host endosome;Host Golgi apparatus;Host nucleus;Host-virus interaction;Late protein;Microtubular inwards viral transport;Phosphoprotein;Viral penetration into host nucleus;Virion;Virus entry into host cell		L2	333760		Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)					MOTIF 1..13; /note="Nuclear localization signal"; /evidence="ECO:0000256|HAMAP-Rule:MF_04003"; MOTIF 454..462; /note="Nuclear localization signal"; /evidence="ECO:0000256|HAMAP-Rule:MF_04003"		Papillomaviridae L2 protein family
NP_041331.2	A0A166MB26	unreviewed	A0A166MB26_9PAPI	Minor capsid protein L2	L2	Alphapapillomavirus 9	473	microtubule-dependent intracellular transport of viral material towards nucleus [GO:0075521]; viral entry into host cell [GO:0046718]; viral penetration into host nucleus [GO:0075732]	host cell endosome [GO:0044174]; host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral capsid [GO:0019028]; DNA binding [GO:0003677]; structural molecule activity [GO:0005198]; microtubule-dependent intracellular transport of viral material towards nucleus [GO:0075521]; viral entry into host cell [GO:0046718]; viral penetration into host nucleus [GO:0075732]	GO:0003677; GO:0005198; GO:0019028; GO:0042025; GO:0044174; GO:0044177; GO:0046718; GO:0075521; GO:0075732	DNA binding [GO:0003677]; structural molecule activity [GO:0005198]	host cell endosome [GO:0044174]; host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral capsid [GO:0019028]	KW-0167; KW-1176; KW-1015; KW-0238; KW-1039; KW-1040; KW-1048; KW-0945; KW-0426; KW-1177; KW-0597; KW-1163; KW-0946; KW-1160	Capsid protein;Cytoplasmic inwards viral transport;Disulfide bond;DNA-binding;Host endosome;Host Golgi apparatus;Host nucleus;Host-virus interaction;Late protein;Microtubular inwards viral transport;Phosphoprotein;Viral penetration into host nucleus;Virion;Virus entry into host cell		L2	337041	UP000131730: Genome		Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)					MOTIF 1..13; /note="Nuclear localization signal"; /evidence="ECO:0000256|HAMAP-Rule:MF_04003"; MOTIF 454..462; /note="Nuclear localization signal"; /evidence="ECO:0000256|HAMAP-Rule:MF_04003"		Papillomaviridae L2 protein family
NP_041332.2	A0A089NDG7	unreviewed	A0A089NDG7_HPV16	Major capsid protein L1	L1	Human papillomavirus type 16	505	endocytosis involved in viral entry into host cell [GO:0075509]; virion attachment to host cell [GO:0019062]	host cell nucleus [GO:0042025]; T=7 icosahedral viral capsid [GO:0039620]; structural molecule activity [GO:0005198]; endocytosis involved in viral entry into host cell [GO:0075509]; virion attachment to host cell [GO:0019062]	GO:0005198; GO:0019062; GO:0039620; GO:0042025; GO:0075509	structural molecule activity [GO:0005198]	host cell nucleus [GO:0042025]; T=7 icosahedral viral capsid [GO:0039620]	KW-0167; KW-1015; KW-1048; KW-0945; KW-0426; KW-1145; KW-1161; KW-1162; KW-0946; KW-1164; KW-1160	Capsid protein;Disulfide bond;Host nucleus;Host-virus interaction;Late protein;T=7 icosahedral capsid protein;Viral attachment to host cell;Viral penetration into host cytoplasm;Virion;Virus endocytosis by host;Virus entry into host cell		L1	333760		Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae L1 protein family
NP_041332.2	A0A159DRT2	unreviewed	A0A159DRT2_HPV16	Major capsid protein L1	L1	Human papillomavirus type 16	505	endocytosis involved in viral entry into host cell [GO:0075509]; virion attachment to host cell [GO:0019062]	host cell nucleus [GO:0042025]; T=7 icosahedral viral capsid [GO:0039620]; structural molecule activity [GO:0005198]; endocytosis involved in viral entry into host cell [GO:0075509]; virion attachment to host cell [GO:0019062]	GO:0005198; GO:0019062; GO:0039620; GO:0042025; GO:0075509	structural molecule activity [GO:0005198]	host cell nucleus [GO:0042025]; T=7 icosahedral viral capsid [GO:0039620]	KW-0167; KW-1015; KW-1048; KW-0945; KW-0426; KW-1145; KW-1161; KW-1162; KW-0946; KW-1164; KW-1160	Capsid protein;Disulfide bond;Host nucleus;Host-virus interaction;Late protein;T=7 icosahedral capsid protein;Viral attachment to host cell;Viral penetration into host cytoplasm;Virion;Virus endocytosis by host;Virus entry into host cell		L1	333760	UP000128285: Genome; UP000165272: Genome	Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae L1 protein family
NP_041332.2	A0A3G2LCQ6	unreviewed	A0A3G2LCQ6_HPV16	Major capsid protein L1	L1	Human papillomavirus type 16	505	endocytosis involved in viral entry into host cell [GO:0075509]; virion attachment to host cell [GO:0019062]	host cell nucleus [GO:0042025]; T=7 icosahedral viral capsid [GO:0039620]; structural molecule activity [GO:0005198]; endocytosis involved in viral entry into host cell [GO:0075509]; virion attachment to host cell [GO:0019062]	GO:0005198; GO:0019062; GO:0039620; GO:0042025; GO:0075509	structural molecule activity [GO:0005198]	host cell nucleus [GO:0042025]; T=7 icosahedral viral capsid [GO:0039620]	KW-0167; KW-1015; KW-1048; KW-0945; KW-0426; KW-1145; KW-1161; KW-1162; KW-0946; KW-1164; KW-1160	Capsid protein;Disulfide bond;Host nucleus;Host-virus interaction;Late protein;T=7 icosahedral capsid protein;Viral attachment to host cell;Viral penetration into host cytoplasm;Virion;Virus endocytosis by host;Virus entry into host cell		L1	333760		Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae L1 protein family
NP_041332.2	A0A161HLT0	unreviewed	A0A161HLT0_9PAPI	Major capsid protein L1	L1	Alphapapillomavirus 9	505	endocytosis involved in viral entry into host cell [GO:0075509]; virion attachment to host cell [GO:0019062]	host cell nucleus [GO:0042025]; T=7 icosahedral viral capsid [GO:0039620]; structural molecule activity [GO:0005198]; endocytosis involved in viral entry into host cell [GO:0075509]; virion attachment to host cell [GO:0019062]	GO:0005198; GO:0019062; GO:0039620; GO:0042025; GO:0075509	structural molecule activity [GO:0005198]	host cell nucleus [GO:0042025]; T=7 icosahedral viral capsid [GO:0039620]	KW-0167; KW-1015; KW-1048; KW-0945; KW-0426; KW-1145; KW-1161; KW-1162; KW-0946; KW-1164; KW-1160	Capsid protein;Disulfide bond;Host nucleus;Host-virus interaction;Late protein;T=7 icosahedral capsid protein;Viral attachment to host cell;Viral penetration into host cytoplasm;Virion;Virus endocytosis by host;Virus entry into host cell		L1	337041	UP000095854: Genome; UP000097054: Genome; UP000098680: Genome; UP000106276: Genome; UP000107233: Genome; UP000107670: Genome; UP000113136: Genome; UP000116283: Genome; UP000123421: Genome; UP000128495: Genome; UP000132635: Genome; UP000134793: Genome; UP000143430: Genome; UP000154149: Genome; UP000165009: Genome; UP000165213: Genome; UP000172651: Genome		Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae L1 protein family
YP_009268708.1	P06922	reviewed	VE4_HPV16	Protein E4 (E1^E4)	E4	Human papillomavirus type 16	92	suppression by virus of G2/M transition of host mitotic cell cycle [GO:0039592]	host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; suppression by virus of G2/M transition of host mitotic cell cycle [GO:0039592]	GO:0030430; GO:0039592; GO:0042025		host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]	KW-0244; KW-1035; KW-1079; KW-1048; KW-0945; KW-1121; KW-0597; KW-1185	Early protein;Host cytoplasm;Host G2/M cell cycle arrest by virus;Host nucleus;Host-virus interaction;Modulation of host cell cycle by virus;Phosphoprotein;Reference proteome		E4	333760	UP000009251: Genome; UP000106302: Genome	Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)					MOTIF 9..12; /note="Association with host cytokeratins"		Papillomaviridae E4 protein family
YP_009268708.1	A7Y3Z3	unreviewed	A7Y3Z3_HPV16	E1^E4		Human papillomavirus type 16	92										333760	UP000145499: Genome	Homo sapiens (Human) [TaxID: 9606]	Alphapapillomavirus 9 (species), Alphapapillomavirus (genus), Firstpapillomavirinae (subfamily), Papillomaviridae (family), Zurhausenvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	337041 (species), 333750 (genus), 2169595 (subfamily), 151340 (family), 2732533 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Papillomaviridae E4 protein family
YP_717936.1	P03085	reviewed	AGNO_POVBK	Agnoprotein (Agno)		BK polyomavirus (BKPyV) (Human polyomavirus 1)	66	pore formation by virus in membrane of host cell [GO:0039707]; protein complex oligomerization [GO:0051259]	host cell nuclear membrane [GO:0044200]; host cell plasma membrane [GO:0020002]; host cell rough endoplasmic reticulum membrane [GO:0044169]; integral component of membrane [GO:0016021]; integral to membrane of host cell [GO:0044385]; DNA binding [GO:0003677]; ion channel activity [GO:0005216]; pore formation by virus in membrane of host cell [GO:0039707]; protein complex oligomerization [GO:0051259]	GO:0003677; GO:0005216; GO:0016021; GO:0020002; GO:0039707; GO:0044169; GO:0044200; GO:0044385; GO:0051259	DNA binding [GO:0003677]; ion channel activity [GO:0005216]	host cell nuclear membrane [GO:0044200]; host cell plasma membrane [GO:0020002]; host cell rough endoplasmic reticulum membrane [GO:0044169]; integral component of membrane [GO:0016021]; integral to membrane of host cell [GO:0044385]	KW-0024; KW-0025; KW-1032; KW-1035; KW-1038; KW-1043; KW-1048; KW-0945; KW-0407; KW-0406; KW-0472; KW-0597; KW-0735; KW-0812; KW-1133; KW-0813; KW-1182	Alternative initiation;Alternative splicing;Host cell membrane;Host cytoplasm;Host endoplasmic reticulum;Host membrane;Host nucleus;Host-virus interaction;Ion channel;Ion transport;Membrane;Phosphoprotein;Signal-anchor;Transmembrane;Transmembrane helix;Transport;Viral ion channel			1891762	UP000008475: Genome; UP000008990: Genome	Homo sapiens (Human) [TaxID: 9606]	Betapolyomavirus (genus), Polyomaviridae (family), Sepolyvirales (order), Papovaviricetes (class), Cossaviricota (phylum), Shotokuvirae (kingdom), Monodnaviria (no rank), Viruses (superkingdom)	1891714 (genus), 151341 (family), 2732532 (order), 2732421 (class), 2732415 (phylum), 2732092 (kingdom), 2731342 (no rank), 10239 (superkingdom)							Polyomavirus agnoprotein family
