name,virus,protein,new_name,Length,GRAVY,Aliphatic Index,Instability Index,Stability,Molecular Weight,Aromaticity,Isoelectric Point,Charge at pH 7,protein_classification,Host_type,infection_type,Virus_Family
dengue2_nonstructural_protein_NS2B_step5_consensus,dengue2,nonstructural protein NS2B,dengue2_nonstructural_protein_NS2B_step5_consensus,130,0.33,118.54,43.99,Unstable,14045.12,0.05,4.45,-7.52,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_nonstructural_protein_NS3_step5_consensus,dengue2,nonstructural protein NS3,dengue2_nonstructural_protein_NS3_step5_consensus,618,-0.5,78.92,36.98,Stable,69407.58,0.08,8.5,4.74,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_nonstructural_protein_NS4A_step5_consensus,dengue2,nonstructural protein NS4A,dengue2_nonstructural_protein_NS4A_step5_consensus,127,0.63,129.92,34.22,Stable,13965.52,0.07,6.25,-1.28,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_nonstructural_protein_NS4B_step5_consensus,dengue2,nonstructural protein NS4B,dengue2_nonstructural_protein_NS4B_step5_consensus,248,0.28,107.06,29.29,Stable,26747.08,0.06,9.01,3.92,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_protein_2K_step5_consensus,dengue2,protein 2K,dengue2_protein_2K_step5_consensus,23,0.99,135.65,36.77,Stable,2432.83,0.04,4.05,-1.6,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_protein_pr_step5_consensus,dengue2,protein pr,dengue2_protein_pr_step5_consensus,91,-0.7,57.8,42.17,Unstable,10503.81,0.07,5.55,-3.01,Non_surface, Mosquito,Acute,Flaviviridae
dengue2_RNA-dependent_RNA_polymerase_NS5_step5_consensus,dengue2,RNA-dependent RNA polymerase NS5,dengue2_RNA-dependent_RNA_polymerase_NS5_step5_consensus,900,-0.61,72.01,36.78,Stable,103181.37,0.09,8.77,12.72,Non_surface, Mosquito,Acute,Flaviviridae
enterov1_A71_2A_step5_consensus,enterov1,A71 2A,enterov1_A71_2A_step5_consensus,17,-0.14,62.94,17.77,Stable,1828.04,0.18,9.99,1.76,Non_surface,Human,Acute,Picornaviridae
enterov1_A71_2B_step5_consensus,enterov1,A71 2B,enterov1_A71_2B_step5_consensus,232,0.03,96.68,31.48,Stable,25243.47,0.08,5.61,-5.7,Non_surface,Human,Acute,Picornaviridae
enterov1_A71_2C_step5_consensus,enterov1,A71 2C,enterov1_A71_2C_step5_consensus,329,-0.31,83.31,37.35,Stable,37073.06,0.09,8.65,4.77,Non_surface,Human,Acute,Picornaviridae
enterov1_A71_3A_step5_consensus,enterov1,A71 3A,enterov1_A71_3A_step5_consensus,86,0.09,108.72,34.75,Stable,9653.06,0.08,5.74,-1.15,Non_surface,Human,Acute,Picornaviridae
enterov1_A71_3B_step5_consensus,enterov1,A71 3B,enterov1_A71_3B_step5_consensus,22,-0.23,88.64,28.12,Stable,2312.71,0.05,10.46,3.76,Non_surface,Human,Acute,Picornaviridae
enterov1_A71_3C_step5_consensus,enterov1,A71 3C,enterov1_A71_3C_step5_consensus,183,-0.09,93.11,37.61,Stable,20164.92,0.07,8.01,1.28,Non_surface,Human,Acute,Picornaviridae
enterov1_A71_3D_step5_consensus,enterov1,A71 3D,enterov1_A71_3D_step5_consensus,462,-0.34,84.03,41.68,Unstable,52511.17,0.11,5.83,-9.02,Non_surface,Human,Acute,Picornaviridae
enterov1_A71_VP1_step5_consensus,enterov1,A71 VP1,enterov1_A71_VP1_step5_consensus,297,-0.34,67.68,44.02,Unstable,32667.48,0.1,6.59,-0.8,Surface,Human,Acute,Picornaviridae
enterov1_A71_VP2_step5_consensus,enterov1,A71 VP2,enterov1_A71_VP2_step5_consensus,254,-0.06,83.7,33.58,Stable,27705.92,0.11,5.09,-8.99,Surface,Human,Acute,Picornaviridae
enterov1_A71_VP3_step5_consensus,enterov1,A71 VP3,enterov1_A71_VP3_step5_consensus,242,0.02,85.45,22.07,Stable,26448.01,0.1,6.21,-1.84,Surface,Human,Acute,Picornaviridae
enterov1_A71_VP4_step5_consensus,enterov1,A71 VP4,enterov1_A71_VP4_step5_consensus,69,-0.86,46.81,45.73,Unstable,7493.1,0.09,6.53,-0.41,Surface,Human,Acute,Picornaviridae
Foveavirus_coat_protein_step5_consensus,Foveavirus,coat protein,Foveavirus_coat_protein_step5_consensus,396,-0.33,68.26,50.15,Unstable,42165.84,0.07,7.03,0.05,Non_surface,Plant,Acute,Reoviridae
Foveavirus_RNA_polymerase_step5_consensus,Foveavirus,RNA polymerase,Foveavirus_RNA_polymerase_step5_consensus,2180,-0.22,86.33,39.06,Stable,246620.92,0.1,6.56,-9.81,Non_surface,Plant,Acute,Reoviridae
Foveavirus_triple_gene_block_1_step5_consensus,Foveavirus,triple gene block 1,Foveavirus_triple_gene_block_1_step5_consensus,223,-0.24,95.65,38.08,Stable,25241.58,0.09,6.75,-0.73,Non_surface,Plant,Acute,Reoviridae
Foveavirus_triple_gene_block_2_step5_consensus,Foveavirus,triple gene block 2,Foveavirus_triple_gene_block_2_step5_consensus,120,0.26,86.08,61.37,Unstable,12762.64,0.09,8.33,1.72,Non_surface,Plant,Acute,Reoviridae
Foveavirus_triple_gene_block_3_step5_consensus,Foveavirus,triple gene block 3,Foveavirus_triple_gene_block_3_step5_consensus,70,0.87,122.57,31.49,Stable,7510.89,0.11,7.78,0.57,Non_surface,Plant,Acute,Reoviridae
HCV1a_core_step4_consensus,HCV1a,core,HCV1a_core_step4_consensus,191,-0.52,71.52,54.59,Unstable,20765.71,0.07,11.46,21.55,Non_surface,Human,Cronic,Flaviviridae
HCV1a_core_step5_consensus,HCV1a,core,HCV1a_core_step5_consensus,191,-0.52,71.52,54.59,Unstable,20765.71,0.07,11.46,21.55,Non_surface,Human,Cronic,Flaviviridae
HCV1a_E1_step4_consensus,HCV1a,E1,HCV1a_E1_step4_consensus,192,0.35,99.01,26.02,Stable,20907.05,0.09,7.75,1.3,Surface,Human,Cronic,Flaviviridae
HCV1a_E1_step5_consensus,HCV1a,E1,HCV1a_E1_step5_consensus,192,0.34,98.49,28.7,Stable,20923.05,0.09,7.75,1.3,Surface,Human,Cronic,Flaviviridae
HCV1a_E2_step4_consensus,HCV1a,E2,HCV1a_E2_step4_consensus,362,-0.11,73.78,39.07,Stable,40104.25,0.12,7.43,1.18,Surface,Human,Cronic,Flaviviridae
HCV1a_E2_step5_consensus,HCV1a,E2,HCV1a_E2_step5_consensus,362,-0.11,74.86,38.1,Stable,40037.16,0.12,7.08,0.27,Surface,Human,Cronic,Flaviviridae
HCV1a_NS2_step4_consensus,HCV1a,NS2,HCV1a_NS2_step4_consensus,217,0.55,123.96,37.92,Stable,24039.37,0.1,9.32,7.15,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS2_step5_consensus,HCV1a,NS2,HCV1a_NS2_step5_consensus,217,0.54,123.09,37.92,Stable,24011.32,0.1,9.32,7.15,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS3_step4_consensus,HCV1a,NS3,HCV1a_NS3_step4_consensus,631,0.05,86.09,38.09,Stable,67182.08,0.07,6.99,-0.05,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS3_step5_consensus,HCV1a,NS3,HCV1a_NS3_step5_consensus,631,0.04,85.31,37.99,Stable,67202.06,0.07,6.99,-0.05,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS4A_step4_consensus,HCV1a,NS4A,HCV1a_NS4A_step4_consensus,54,0.76,124.44,12.65,Stable,5813.78,0.07,4.49,-3.56,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS4A_step5_consensus,HCV1a,NS4A,HCV1a_NS4A_step5_consensus,54,0.76,124.44,12.65,Stable,5813.78,0.07,4.49,-3.56,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS4B_step4_consensus,HCV1a,NS4B,HCV1a_NS4B_step4_consensus,261,0.5,108.89,44.36,Unstable,27177.29,0.07,8.51,1.97,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS4B_step5_consensus,HCV1a,NS4B,HCV1a_NS4B_step5_consensus,261,0.5,108.89,44.36,Unstable,27177.29,0.07,8.51,1.97,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS5A_step4_consensus,HCV1a,NS5A,HCV1a_NS5A_step4_consensus,446,-0.37,70.38,58,Unstable,48742.5,0.07,5.09,-15.81,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS5A_step5_consensus,HCV1a,NS5A,HCV1a_NS5A_step5_consensus,446,-0.38,70.16,57.73,Unstable,48730.49,0.07,5.08,-15.81,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS5B_step4_consensus,HCV1a,NS5B,HCV1a_NS5B_step4_consensus,591,-0.11,86.53,42.67,Unstable,65345.51,0.09,9.04,18.42,Non_surface,Human,Cronic,Flaviviridae
HCV1a_NS5B_step5_consensus,HCV1a,NS5B,HCV1a_NS5B_step5_consensus,580,-0.13,85.66,42.69,Unstable,64205.22,0.09,9.04,18.42,Non_surface,Human,Cronic,Flaviviridae
HCV1a_p7_step4_consensus,HCV1a,p7,HCV1a_p7_step4_consensus,63,1.06,134.92,28.95,Stable,6956.27,0.17,9.05,1.87,Non_surface,Human,Cronic,Flaviviridae
HCV1a_p7_step5_consensus,HCV1a,p7,HCV1a_p7_step5_consensus,63,1.04,127.14,31.07,Stable,6976.26,0.19,9.05,1.87,Non_surface,Human,Cronic,Flaviviridae
HepA_1A-VP4a-mature-peptide-alt_step4_consensus,HepA,1A-VP4a-mature-peptide-alt,HepA_1A-VP4a-mature-peptide-alt_step4_consensus,23,0.3,101.74,65.51,Unstable,2475.84,0.04,6.5,-0.41,Non_surface,Human,Acute,Picornaviridae
HepA_1A-VP4b-mature-peptide-alt_step4_consensus,HepA,1A-VP4b-mature-peptide-alt,HepA_1A-VP4b-mature-peptide-alt_step4_consensus,21,0.44,111.43,63.71,Unstable,2202.53,0.05,6.5,-0.41,Non_surface,Human,Acute,Picornaviridae
HepA_1B-VP2-mature-peptide_step4_consensus,HepA,1B-VP2-mature-peptide,HepA_1B-VP2-mature-peptide_step4_consensus,222,-0.12,92.16,29.61,Stable,24830.83,0.1,5.97,-4.45,Non_surface,Human,Acute,Picornaviridae
HepA_1C-VP3-mature-peptide_step4_consensus,HepA,1C-VP3-mature-peptide,HepA_1C-VP3-mature-peptide_step4_consensus,246,-0.11,76.46,19.44,Stable,27792.43,0.12,7.59,0.88,Non_surface,Human,Acute,Picornaviridae
HepA_1D-VP1-mature-peptide_step4_consensus,HepA,1D-VP1-mature-peptide,HepA_1D-VP1-mature-peptide_step4_consensus,300,-0.31,72.47,47.13,Unstable,33226.83,0.11,5.04,-9.8,Non_surface,Human,Acute,Picornaviridae
HepA_2A-mature-peptide_step4_consensus,HepA,2A-mature-peptide,HepA_2A-mature-peptide_step4_consensus,178,-0.3,89.83,48.39,Unstable,20706.98,0.09,8.96,5.69,Non_surface,Human,Acute,Picornaviridae
HepA_2B-mature-peptide_step4_consensus,HepA,2B-mature-peptide,HepA_2B-mature-peptide_step4_consensus,105,0.49,108.48,33.9,Stable,11831.87,0.09,6.44,-0.92,Non_surface,Human,Acute,Picornaviridae
HepA_2C-mature-peptide_step4_consensus,HepA,2C-mature-peptide,HepA_2C-mature-peptide_step4_consensus,335,-0.32,87.25,33.61,Stable,38431.85,0.09,7.52,1.09,Non_surface,Human,Acute,Picornaviridae
HepA_3A-mature-peptide_step4_consensus,HepA,3A-mature-peptide,HepA_3A-mature-peptide_step4_consensus,67,-0.06,71.19,35.74,Stable,7252.93,0.15,5.51,-2.05,Non_surface,Human,Acute,Picornaviridae
HepA_3B-VPg-mature-peptide_step4_consensus,HepA,3B-VPg-mature-peptide,HepA_3B-VPg-mature-peptide_step4_consensus,23,-0.53,88.7,21.22,Stable,2508.82,0.04,6.75,-0.15,Non_surface,Human,Acute,Picornaviridae
HepA_3C-mature-peptide_step4_consensus,HepA,3C-mature-peptide,HepA_3C-mature-peptide_step4_consensus,215,-0.08,92.84,22.72,Stable,23650.1,0.08,8.77,2.81,Non_surface,Human,Acute,Picornaviridae
HepA_3D-mature-peptide_step4_consensus,HepA,3D-mature-peptide,HepA_3D-mature-peptide_step4_consensus,483,-0.06,88.61,39.17,Stable,55627.73,0.12,5.57,-9.43,Non_surface,Human,Acute,Picornaviridae
HIV1A1_Gag_step4_consensus,HIV1A1,Gag,HIV1A1_Gag_step4_consensus,498,-0.6,71.55,41.78,Unstable,55406.07,0.06,9.24,14.35,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Gag_step5_consensus,HIV1A1,Gag,HIV1A1_Gag_step5_consensus,498,-0.59,72.53,42.58,Unstable,55404.04,0.06,9.23,14.35,Non_surface,Human,Cronic,Retroviridae
HIV1A1_gp160_step4_consensus,HIV1A1,gp160,HIV1A1_gp160_step4_consensus,850,-0.23,94.4,40.1,Unstable,96422.76,0.08,8.99,18.6,Surface,Human,Cronic,Retroviridae
HIV1A1_gp160_step5_consensus,HIV1A1,gp160,HIV1A1_gp160_step5_consensus,847,-0.23,94.05,42.16,Unstable,95929.09,0.08,8.82,14.6,Surface,Human,Cronic,Retroviridae
HIV1A1_Nef_step4_consensus,HIV1A1,Nef,HIV1A1_Nef_step4_consensus,204,-0.68,67.84,43,Unstable,23408.21,0.1,5.91,-4.8,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Nef_step5_consensus,HIV1A1,Nef,HIV1A1_Nef_step5_consensus,204,-0.68,66.42,44.02,Unstable,23456.26,0.11,5.91,-4.8,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Pol_step4_consensus,HIV1A1,Pol,HIV1A1_Pol_step4_consensus,1003,-0.45,86.01,34.1,Stable,113475.69,0.09,8.41,7.37,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Pol_step5_consensus,HIV1A1,Pol,HIV1A1_Pol_step5_consensus,1003,-0.45,86.11,34.1,Stable,113445.66,0.09,8.41,7.37,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Rev_step4_consensus,HIV1A1,Rev,HIV1A1_Rev_step4_consensus,123,-0.8,77.64,84.83,Unstable,13674.37,0.02,10.12,7.58,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Rev_step5_consensus,HIV1A1,Rev,HIV1A1_Rev_step5_consensus,123,-0.85,75.28,81.96,Unstable,13660.31,0.02,10.26,7.58,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Tat_step4_consensus,HIV1A1,Tat,HIV1A1_Tat_step4_consensus,101,-1.28,35.64,50.57,Unstable,11444.87,0.06,9.28,7.7,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Tat_step5_consensus,HIV1A1,Tat,HIV1A1_Tat_step5_consensus,101,-1.31,35.64,52.91,Unstable,11471.9,0.06,9.28,7.7,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Vif_step4_consensus,HIV1A1,Vif,HIV1A1_Vif_step4_consensus,192,-0.69,75.57,35.54,Stable,22578.72,0.1,9.9,14.52,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Vif_step5_consensus,HIV1A1,Vif,HIV1A1_Vif_step5_consensus,192,-0.69,75.57,35.54,Stable,22578.72,0.1,9.9,14.52,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Vpr_step4_consensus,HIV1A1,Vpr,HIV1A1_Vpr_step4_consensus,96,-0.72,81.25,42.66,Unstable,11299.66,0.09,7.02,0.04,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Vpr_step5_consensus,HIV1A1,Vpr,HIV1A1_Vpr_step5_consensus,96,-0.72,81.25,44.04,Unstable,11313.68,0.09,7.02,0.04,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Vpu_step4_consensus,HIV1A1,Vpu,HIV1A1_Vpu_step4_consensus,81,0.01,127.53,27.28,Stable,9102.38,0.04,4.4,-7.48,Non_surface,Human,Cronic,Retroviridae
HIV1A1_Vpu_step5_consensus,HIV1A1,Vpu,HIV1A1_Vpu_step5_consensus,81,0.01,127.53,27.28,Stable,9102.38,0.04,4.4,-7.48,Non_surface,Human,Cronic,Retroviridae
HIV2_envelope_step4_consensus,HIV2,envelope,HIV2_envelope_step4_consensus,854,-0.39,78.21,34.26,Stable,98489.3,0.11,8.69,14.35,Surface,Human,Cronic,Retroviridae
HIV2_gag_step4_consensus,HIV2,gag,HIV2_gag_step4_consensus,521,-0.57,75.28,44.07,Unstable,58085.14,0.06,8.9,11.31,Non_surface,Human,Cronic,Retroviridae
HIV2_nef_step4_consensus,HIV2,nef,HIV2_nef_step4_consensus,256,-0.93,52.97,50.13,Unstable,29372.34,0.11,5.36,-9.77,Non_surface,Human,Cronic,Retroviridae
HIV2_pol_step4_consensus,HIV2,pol,HIV2_pol_step4_consensus,1028,-0.46,86.29,35.44,Stable,116268.61,0.08,7.41,1.79,Non_surface,Human,Cronic,Retroviridae
HIV2_rev_step4_consensus,HIV2,rev,HIV2_rev_step4_consensus,100,-1.11,76.2,82.16,Unstable,11757.14,0.05,10.95,4.69,Non_surface,Human,Cronic,Retroviridae
HIV2_tat_step4_consensus,HIV2,tat,HIV2_tat_step4_consensus,130,-1.05,51.08,62.37,Unstable,14615.35,0.05,8.97,6.6,Non_surface,Human,Cronic,Retroviridae
HIV2_vif_step4_consensus,HIV2,vif,HIV2_vif_step4_consensus,215,-0.61,70.7,50.67,Unstable,25302.8,0.13,9.71,15.07,Non_surface,Human,Cronic,Retroviridae
HIV2_vpr_step4_consensus,HIV2,vpr,HIV2_vpr_step4_consensus,105,-0.58,75.33,37.83,Stable,11833.33,0.07,6.07,-2.13,Non_surface,Human,Cronic,Retroviridae
HIV2_vpx_step4_consensus,HIV2,vpx,HIV2_vpx_step4_consensus,112,-0.67,54.82,39.1,Stable,12782.41,0.12,6.9,-0.16,Non_surface,Human,Cronic,Retroviridae
IAVH9N2_HA_step4_consensus,IAVH9N2,HA,IAVH9N2_HA_step4_consensus,560,-0.34,84.96,36.29,Stable,62603.25,0.09,6.8,-0.71,Surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_HA_step5_consensus,IAVH9N2,HA,IAVH9N2_HA_step5_consensus,560,-0.34,84.43,36.12,Stable,62575.16,0.09,6.65,-1.54,Surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_M1_step4_consensus,IAVH9N2,M1,IAVH9N2_M1_step4_consensus,252,-0.23,84.09,37.48,Stable,27777.87,0.05,9.28,5.94,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_M1_step5_consensus,IAVH9N2,M1,IAVH9N2_M1_step5_consensus,252,-0.24,83.69,37.48,Stable,27807.9,0.05,9.28,5.94,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_M2_step4_consensus,IAVH9N2,M2,IAVH9N2_M2_step4_consensus,97,-0.25,96.39,62.39,Unstable,11247.72,0.09,4.99,-5.32,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_M2_step5_consensus,IAVH9N2,M2,IAVH9N2_M2_step5_consensus,97,-0.25,96.39,62.39,Unstable,11247.72,0.09,4.99,-5.32,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NA_step4_consensus,IAVH9N2,Neuraminiase,IAVH9N2_NA_step4_consensus,466,-0.3,74.85,31.66,Stable,51431.59,0.08,7.07,0.2,Surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NA_step5_consensus,IAVH9N2,Neuraminiase,IAVH9N2_NA_step5_consensus,469,-0.3,74.16,36.7,Stable,51764.87,0.08,7.42,1.2,Surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NP_step5_consensus,IAVH9N2,NP,IAVH9N2_NP_step5_consensus,498,-0.57,69.58,44.84,Unstable,56279.12,0.08,9.47,12.06,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NS1_step4_consensus,IAVH9N2,NS1,IAVH9N2_NS1_step4_consensus,217,-0.34,90.32,53.64,Unstable,24605.84,0.06,5.37,-5.2,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NS1_step5_consensus,IAVH9N2,NS1,IAVH9N2_NS1_step5_consensus,230,-0.36,89.04,62.35,Unstable,26083.59,0.06,5.29,-5.28,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NS2_step4_consensus,IAVH9N2,NS2,IAVH9N2_NS2_step4_consensus,121,-0.45,87.02,63.1,Unstable,14280.13,0.08,5.2,-4.29,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NS2_step5_consensus,IAVH9N2,NS2,IAVH9N2_NS2_step5_consensus,121,-0.41,88.6,62.48,Unstable,14338.28,0.08,5.2,-4.29,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_PA_step4_consensus,IAVH9N2,PA,IAVH9N2_PA_step4_consensus,716,-0.49,78.06,51.29,Unstable,82662.58,0.09,5.43,-18.35,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_PA_step5_consensus,IAVH9N2,PA,IAVH9N2_PA_step5_consensus,716,-0.47,78.06,50.34,Unstable,82521.45,0.09,5.39,-19.34,Non_surface,Avian,Acute,Orthomyxoviridae
